outer_test_participant,family,candidate_id,candidate_order,inner_fold,inner_train_participants,inner_validation_participants,validation_participant,participant_balanced_accuracy,effective_params,all_missing_features_in_inner_training,model_seed
S2,logistic,"logistic:C=0.1,class_weight=None",0,0,"S10,S11,S14,S16,S17,S4,S6,S7,S8,S9","S13,S15,S3,S5",S13,0.9473684210526316,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,0,"S10,S11,S14,S16,S17,S4,S6,S7,S8,S9","S13,S15,S3,S5",S15,0.8038277511961722,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,0,"S10,S11,S14,S16,S17,S4,S6,S7,S8,S9","S13,S15,S3,S5",S3,0.9166666666666667,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,0,"S10,S11,S14,S16,S17,S4,S6,S7,S8,S9","S13,S15,S3,S5",S5,0.9181286549707601,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,1,"S10,S13,S14,S15,S16,S17,S3,S5,S7,S8,S9","S11,S4,S6",S11,1.0,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,1,"S10,S13,S14,S15,S16,S17,S3,S5,S7,S8,S9","S11,S4,S6",S4,1.0,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,1,"S10,S13,S14,S15,S16,S17,S3,S5,S7,S8,S9","S11,S4,S6",S6,0.95,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,2,"S11,S13,S15,S16,S3,S4,S5,S6,S7,S8","S10,S14,S17,S9",S10,0.8181818181818181,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,2,"S11,S13,S15,S16,S3,S4,S5,S6,S7,S8","S10,S14,S17,S9",S14,0.75,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,2,"S11,S13,S15,S16,S3,S4,S5,S6,S7,S8","S10,S14,S17,S9",S17,0.9090909090909092,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,2,"S11,S13,S15,S16,S3,S4,S5,S6,S7,S8","S10,S14,S17,S9",S9,0.6666666666666666,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,3,"S10,S11,S13,S14,S15,S17,S3,S4,S5,S6,S9","S16,S7,S8",S16,0.9473684210526316,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,3,"S10,S11,S13,S14,S15,S17,S3,S4,S5,S6,S9","S16,S7,S8",S7,0.5789473684210527,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=None",0,3,"S10,S11,S13,S14,S15,S17,S3,S4,S5,S6,S9","S16,S7,S8",S8,1.0,"{""C"": 0.1, ""class_weight"": null}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=balanced",1,0,"S10,S11,S14,S16,S17,S4,S6,S7,S8,S9","S13,S15,S3,S5",S13,0.9473684210526316,"{""C"": 0.1, ""class_weight"": ""balanced""}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=balanced",1,0,"S10,S11,S14,S16,S17,S4,S6,S7,S8,S9","S13,S15,S3,S5",S15,0.6985645933014355,"{""C"": 0.1, ""class_weight"": ""balanced""}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=balanced",1,0,"S10,S11,S14,S16,S17,S4,S6,S7,S8,S9","S13,S15,S3,S5",S3,0.8888888888888888,"{""C"": 0.1, ""class_weight"": ""balanced""}",[],1718432981
S2,logistic,"logistic:C=0.1,class_weight=balanced",1,0,"S10,S11,S14,S16,S17,S4,S6,S7,S8,S9","S13,S15,S3,S5",S5,0.9181286549707601,"{""C"": 0.1, ""class_weight"": ""balanced""}",[],1718432981
