outer_test_participant,family,candidate_id,candidate_order,params,participant_mean_balanced_accuracy,n_validation_participants
S2,logistic,"logistic:C=0.1,class_weight=None",0,"{""C"": 0.1, ""class_weight"": null}",0.8718747626642365,14
S2,logistic,"logistic:C=0.1,class_weight=balanced",1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.8584244702665755,14
S2,logistic,"logistic:C=1.0,class_weight=None",2,"{""C"": 1.0, ""class_weight"": null}",0.8531328320802005,14
S2,logistic,"logistic:C=1.0,class_weight=balanced",3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.848463962937647,14
S2,logistic,"logistic:C=10.0,class_weight=None",4,"{""C"": 10.0, ""class_weight"": null}",0.8298891167312219,14
S2,logistic,"logistic:C=10.0,class_weight=balanced",5,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.8261297182349814,14
S2,random_forest,"random_forest:max_depth=3,min_samples_leaf=5,class_weight=None",0,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 5}",0.8301606288448393,14
S2,random_forest,"random_forest:max_depth=3,min_samples_leaf=5,class_weight=balanced",1,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 5}",0.8556334016860332,14
S2,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=None",2,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.8320403280929597,14
S2,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=balanced",3,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 2}",0.8633610541505278,14
S2,random_forest,"random_forest:max_depth=6,min_samples_leaf=5,class_weight=None",4,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.8318694463431306,14
S2,random_forest,"random_forest:max_depth=6,min_samples_leaf=5,class_weight=balanced",5,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5}",0.8609592162223743,14
S2,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=None",6,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 2}",0.8363503455608718,14
S2,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=balanced",7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 2}",0.8601048074732286,14
S2,xgboost,"xgboost:max_depth=2,learning_rate=0.03,class_weight_mode=none",0,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.03, ""max_depth"": 2}",0.8386268702058175,14
S2,xgboost,"xgboost:max_depth=2,learning_rate=0.03,class_weight_mode=training_ratio",1,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 2}",0.8717038809144074,14
S2,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=none",2,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.8440666059087112,14
S2,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=training_ratio",3,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.8613066757803599,14
S2,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=none",4,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8714665451507556,14
S2,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=training_ratio",5,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8631218197007671,14
S2,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=none",6,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.8523277891698944,14
S2,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=training_ratio",7,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.8745139363560417,14
S3,logistic,"logistic:C=0.1,class_weight=None",0,"{""C"": 0.1, ""class_weight"": null}",0.8554207488418015,14
S3,logistic,"logistic:C=0.1,class_weight=balanced",1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.8432539682539683,14
S3,logistic,"logistic:C=1.0,class_weight=None",2,"{""C"": 1.0, ""class_weight"": null}",0.828647376015797,14
S3,logistic,"logistic:C=1.0,class_weight=balanced",3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.8399635452267029,14
S3,logistic,"logistic:C=10.0,class_weight=None",4,"{""C"": 10.0, ""class_weight"": null}",0.8087225639857217,14
S3,logistic,"logistic:C=10.0,class_weight=balanced",5,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.8095769727348674,14
S3,random_forest,"random_forest:max_depth=3,min_samples_leaf=5,class_weight=None",0,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 5}",0.8330447330447331,14
S3,random_forest,"random_forest:max_depth=3,min_samples_leaf=5,class_weight=balanced",1,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 5}",0.8483462443988762,14
S3,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=None",2,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.8290764790764792,14
S3,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=balanced",3,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 2}",0.8541941976152503,14
S3,random_forest,"random_forest:max_depth=6,min_samples_leaf=5,class_weight=None",4,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.8328529657477027,14
S3,random_forest,"random_forest:max_depth=6,min_samples_leaf=5,class_weight=balanced",5,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5}",0.8422495633021949,14
S3,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=None",6,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 2}",0.831810587073745,14
S3,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=balanced",7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 2}",0.8407894736842108,14
S3,xgboost,"xgboost:max_depth=2,learning_rate=0.03,class_weight_mode=none",0,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.03, ""max_depth"": 2}",0.8349415204678364,14
S3,xgboost,"xgboost:max_depth=2,learning_rate=0.03,class_weight_mode=training_ratio",1,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 2}",0.8390635680109365,14
S3,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=none",2,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.8308574466469204,14
S3,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=training_ratio",3,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.8344497607655503,14
S3,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=none",4,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8338991417938787,14
S3,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=training_ratio",5,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8538733196627933,14
S3,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=none",6,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.8300751879699249,14
S3,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=training_ratio",7,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.834313055365687,14
S4,logistic,"logistic:C=0.1,class_weight=None",0,"{""C"": 0.1, ""class_weight"": null}",0.7842560947824105,14
S4,logistic,"logistic:C=0.1,class_weight=balanced",1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.8098294979873927,14
S4,logistic,"logistic:C=1.0,class_weight=None",2,"{""C"": 1.0, ""class_weight"": null}",0.8011638945849472,14
S4,logistic,"logistic:C=1.0,class_weight=balanced",3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.8009759246601352,14
S4,logistic,"logistic:C=10.0,class_weight=None",4,"{""C"": 10.0, ""class_weight"": null}",0.794782410571884,14
S4,logistic,"logistic:C=10.0,class_weight=balanced",5,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.7980291638186374,14
