model_family,participant_id,n_windows,n_baseline,n_stress,balanced_accuracy,macro_f1,baseline_recall,stress_recall,tn,fp,fn,tp,auroc,average_precision
majority,S2,28,18,10,0.5,0.391304347826087,1.0,0.0,18,0,10,0,0.5,0.35714285714285715
majority,S3,28,18,10,0.5,0.391304347826087,1.0,0.0,18,0,10,0,0.5,0.35714285714285715
majority,S4,28,19,9,0.5,0.40425531914893614,1.0,0.0,19,0,9,0,0.5,0.32142857142857145
majority,S5,28,19,9,0.5,0.40425531914893614,1.0,0.0,19,0,9,0,0.5,0.32142857142857145
majority,S6,29,19,10,0.5,0.3958333333333333,1.0,0.0,19,0,10,0,0.5,0.3448275862068966
majority,S7,29,19,10,0.5,0.3958333333333333,1.0,0.0,19,0,10,0,0.5,0.3448275862068966
majority,S8,30,19,11,0.5,0.3877551020408163,1.0,0.0,19,0,11,0,0.5,0.36666666666666664
majority,S9,27,18,9,0.5,0.4,1.0,0.0,18,0,9,0,0.5,0.3333333333333333
majority,S10,30,19,11,0.5,0.3877551020408163,1.0,0.0,19,0,11,0,0.5,0.36666666666666664
majority,S11,30,19,11,0.5,0.3877551020408163,1.0,0.0,19,0,11,0,0.5,0.36666666666666664
majority,S13,29,19,10,0.5,0.3958333333333333,1.0,0.0,19,0,10,0,0.5,0.3448275862068966
majority,S14,29,19,10,0.5,0.3958333333333333,1.0,0.0,19,0,10,0,0.5,0.3448275862068966
majority,S15,30,19,11,0.5,0.3877551020408163,1.0,0.0,19,0,11,0,0.5,0.36666666666666664
majority,S16,29,19,10,0.5,0.3958333333333333,1.0,0.0,19,0,10,0,0.5,0.3448275862068966
majority,S17,30,19,11,0.5,0.3877551020408163,1.0,0.0,19,0,11,0,0.5,0.36666666666666664
logistic,S2,28,18,10,0.95,0.9601706970128023,1.0,0.9,18,0,1,9,1.0,0.9999999999999999
logistic,S3,28,18,10,0.8944444444444444,0.8857142857142857,0.8888888888888888,0.9,16,2,1,9,0.9722222222222222,0.9497222222222222
logistic,S4,28,19,9,1.0,1.0,1.0,1.0,19,0,0,9,1.0,1.0000000000000002
logistic,S5,28,19,9,0.8888888888888888,0.9125,1.0,0.7777777777777778,19,0,2,7,0.9707602339181287,0.9603174603174605
logistic,S6,29,19,10,0.95,0.9608636977058029,1.0,0.9,19,0,1,9,1.0,0.9999999999999999
logistic,S7,29,19,10,0.5789473684210527,0.41414141414141414,0.15789473684210525,1.0,3,16,0,10,1.0,0.9999999999999999
logistic,S8,30,19,11,0.9090909090909092,0.925,1.0,0.8181818181818182,19,0,2,9,1.0,1.0
logistic,S9,27,18,9,0.8333333333333333,0.8615384615384616,1.0,0.6666666666666666,18,0,3,6,1.0,1.0000000000000002
logistic,S10,30,19,11,0.8181818181818181,0.8412698412698413,1.0,0.6363636363636364,19,0,4,7,1.0,1.0
logistic,S11,30,19,11,1.0,1.0,1.0,1.0,19,0,0,11,1.0,1.0
logistic,S13,29,19,10,0.9473684210526316,0.9267676767676767,0.8947368421052632,1.0,17,2,0,10,0.9894736842105264,0.9809090909090908
logistic,S14,29,19,10,0.75,0.7751937984496124,1.0,0.5,19,0,5,5,0.9263157894736842,0.9021031746031746
logistic,S15,30,19,11,0.5933014354066986,0.53125,0.3684210526315789,0.8181818181818182,7,12,2,9,0.8181818181818181,0.8659932659932661
logistic,S16,29,19,10,0.9473684210526316,0.9267676767676767,0.8947368421052632,1.0,17,2,0,10,1.0,0.9999999999999999
logistic,S17,30,19,11,0.777511961722488,0.76,0.7368421052631579,0.8181818181818182,14,5,2,9,0.8803827751196173,0.9011707988980717
random_forest,S2,28,18,10,0.85,0.8733031674208145,1.0,0.7,18,0,3,7,1.0,0.9999999999999999
random_forest,S3,28,18,10,0.6944444444444444,0.6025806451612903,0.3888888888888889,1.0,7,11,0,10,0.8888888888888888,0.8888888888888888
random_forest,S4,28,19,9,1.0,1.0,1.0,1.0,19,0,0,9,1.0,1.0000000000000002
random_forest,S5,28,19,9,0.9444444444444444,0.9577677224736048,1.0,0.8888888888888888,19,0,1,8,0.9883040935672515,0.9797979797979799
random_forest,S6,29,19,10,0.8947368421052632,0.857843137254902,0.7894736842105263,1.0,15,4,0,10,1.0,0.9999999999999999
random_forest,S7,29,19,10,0.6842105263157895,0.5817307692307692,0.3684210526315789,1.0,7,12,0,10,0.9894736842105263,0.9833333333333333
random_forest,S8,30,19,11,0.9090909090909092,0.925,1.0,0.8181818181818182,19,0,2,9,1.0,1.0
random_forest,S9,27,18,9,0.9444444444444444,0.9570747217806042,1.0,0.8888888888888888,18,0,1,8,1.0,1.0000000000000002
random_forest,S10,30,19,11,0.9090909090909092,0.925,1.0,0.8181818181818182,19,0,2,9,1.0,1.0
random_forest,S11,30,19,11,1.0,1.0,1.0,1.0,19,0,0,11,1.0,1.0
random_forest,S13,29,19,10,0.9,0.9194444444444444,1.0,0.8,19,0,2,8,1.0,0.9999999999999999
random_forest,S14,29,19,10,0.5,0.3958333333333333,1.0,0.0,19,0,10,0,0.7000000000000001,0.7379558435068179
random_forest,S15,30,19,11,0.9090909090909092,0.925,1.0,0.8181818181818182,19,0,2,9,1.0,1.0
random_forest,S16,29,19,10,1.0,1.0,1.0,1.0,19,0,0,10,1.0,0.9999999999999999
random_forest,S17,30,19,11,0.6985645933014355,0.6651785714285714,0.5789473684210527,0.8181818181818182,11,8,2,9,0.7559808612440192,0.772546165801744
xgboost,S2,28,18,10,0.95,0.9601706970128023,1.0,0.9,18,0,1,9,1.0,0.9999999999999999
xgboost,S3,28,18,10,0.8333333333333333,0.7846153846153847,0.6666666666666666,1.0,12,6,0,10,1.0,0.9999999999999999
xgboost,S4,28,19,9,1.0,1.0,1.0,1.0,19,0,0,9,1.0,1.0000000000000002
xgboost,S5,28,19,9,0.8333333333333333,0.8634146341463416,1.0,0.6666666666666666,19,0,3,6,0.9883040935672515,0.9797979797979799
xgboost,S6,29,19,10,0.95,0.9608636977058029,1.0,0.9,19,0,1,9,0.9947368421052633,0.9909090909090909
xgboost,S7,29,19,10,0.631578947368421,0.5024509803921569,0.2631578947368421,1.0,5,14,0,10,0.9947368421052633,0.9909090909090909
xgboost,S8,30,19,11,1.0,1.0,1.0,1.0,19,0,0,11,1.0,1.0
xgboost,S9,27,18,9,0.9444444444444444,0.9570747217806042,1.0,0.8888888888888888,18,0,1,8,1.0,1.0000000000000002
xgboost,S10,30,19,11,0.8636363636363636,0.8844672657252888,1.0,0.7272727272727273,19,0,3,8,1.0,1.0
xgboost,S11,30,19,11,1.0,1.0,1.0,1.0,19,0,0,11,1.0,1.0
xgboost,S13,29,19,10,1.0,1.0,1.0,1.0,19,0,0,10,1.0,0.9999999999999999
xgboost,S14,29,19,10,0.5,0.3958333333333333,1.0,0.0,19,0,10,0,0.605263157894737,0.6003191444570755
xgboost,S15,30,19,11,0.9090909090909092,0.925,1.0,0.8181818181818182,19,0,2,9,0.9521531100478469,0.9508264462809919
xgboost,S16,29,19,10,1.0,1.0,1.0,1.0,19,0,0,10,1.0,0.9999999999999999
xgboost,S17,30,19,11,0.8564593301435407,0.8564593301435407,0.8947368421052632,0.8181818181818182,17,2,2,9,0.8755980861244019,0.8920798898071627
