outer_fold,outer_test_participant,family,candidate_id,candidate_params,model_seed,inner_score,candidate_order,model_seed_stream,n_training_rows,training_prevalence,all_missing_features_refit
0,S2,majority,majority,"{""hard_label"": 0, ""n_training_rows"": 406, ""training_prevalence"": 0.3497536945812808}",,,,,,,
0,S2,logistic,"logistic:C=0.1,class_weight=None","{""C"": 0.1, ""class_weight"": null}",1718432981.0,0.8718747626642365,0.0,model_fit:logistic:S2,406.0,0.3497536945812808,[]
0,S2,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=balanced","{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 2}",17722509.0,0.8633610541505278,3.0,model_fit:random_forest:S2,406.0,0.3497536945812808,[]
0,S2,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=training_ratio","{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 3, ""scale_pos_weight"": 1.8591549295774648}",3417012603.0,0.8745139363560417,7.0,model_fit:xgboost:S2,406.0,0.3497536945812808,[]
1,S3,majority,majority,"{""hard_label"": 0, ""n_training_rows"": 406, ""training_prevalence"": 0.3497536945812808}",,,,,,,
1,S3,logistic,"logistic:C=0.1,class_weight=None","{""C"": 0.1, ""class_weight"": null}",584898430.0,0.8554207488418015,0.0,model_fit:logistic:S3,406.0,0.3497536945812808,[]
1,S3,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=balanced","{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 2}",2560600566.0,0.8541941976152503,3.0,model_fit:random_forest:S3,406.0,0.3497536945812808,[]
1,S3,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=training_ratio","{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 3, ""scale_pos_weight"": 1.8591549295774648}",1485804657.0,0.8538733196627933,5.0,model_fit:xgboost:S3,406.0,0.3497536945812808,[]
2,S4,majority,majority,"{""hard_label"": 0, ""n_training_rows"": 406, ""training_prevalence"": 0.3522167487684729}",,,,,,,
2,S4,logistic,"logistic:C=0.1,class_weight=balanced","{""C"": 0.1, ""class_weight"": ""balanced""}",4210449015.0,0.8098294979873927,1.0,model_fit:logistic:S4,406.0,0.3522167487684729,[]
2,S4,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=balanced","{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 2}",3030191156.0,0.8626300599984811,7.0,model_fit:random_forest:S4,406.0,0.3522167487684729,[]
2,S4,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=none","{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 3, ""scale_pos_weight"": 1.0}",3346531493.0,0.8674565200880989,6.0,model_fit:xgboost:S4,406.0,0.3522167487684729,[]
3,S5,majority,majority,"{""hard_label"": 0, ""n_training_rows"": 406, ""training_prevalence"": 0.3522167487684729}",,,,,,,
3,S5,logistic,"logistic:C=0.1,class_weight=None","{""C"": 0.1, ""class_weight"": null}",3987203998.0,0.8819947596263387,0.0,model_fit:logistic:S5,406.0,0.3522167487684729,[]
3,S5,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=balanced","{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 2}",3592787348.0,0.8950444292549556,7.0,model_fit:random_forest:S5,406.0,0.3522167487684729,[]
3,S5,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=training_ratio","{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 2, ""scale_pos_weight"": 1.8391608391608392}",1329148239.0,0.9017828662565505,3.0,model_fit:xgboost:S5,406.0,0.3522167487684729,[]
4,S6,majority,majority,"{""hard_label"": 0, ""n_training_rows"": 405, ""training_prevalence"": 0.3506172839506173}",,,,,,,
